sentence,class
'Mandar TDS os dias os indicadores.',negativa
'Nenhuma',positiva
'Continuar sempre nos mantendo em dia com tudo',positiva
'Mandar sempre o valor da premiação',negativa
'Vendas',positiva
'Ser mais ágil e aumentar o leque de informações',negativa
'Msg sobre garantias',positiva
'Pra mim está bom',positiva
'Extrato diário 1 vez por dia com todos os indicadores e por colaborador',negativa
'Continue assim',positiva
'Ter a previsão da premiação do cal',positiva
'Informações diárias  com todos os indicadores de desempenho',negativa
'Melhorar as informações gerenciais .... Para auxiliar no direcionamento do dia a dia do culsultor em loja',negativa
'Nada declarar',positiva
'Metas diarias',negativa
'Gostaria de ter os dados dos meus servicos vendas promoções as quais estou elegiveus',positiva
'Enviar todos os dias as metas geral relatando quanto falta para cada meta',negativa
'Sem mais',positiva
'Na vdd pra mim está ótima ta adequada.',positiva
'Dizer o que realmente preciso saber. Por exemplo preciso saber no meu dia a dia sobre a quantidade de recargas que faço e quando pergunto não  tenho resposta.',negativa
'Seria ótimo ter as informações atualizadas diariamente',negativa
'Nada a declarar...obg',positiva
'Podiam rever uma estratégia para que a premiação seja mais certiva prq mês passado vc me mandou que minha premiação seria uma é recebi outra',negativa
'Seria ótimo que as atualizações fossem diárias como no looqbox. Entendo que faz parte da implantação do novo sistema.',negativa
'Deveria mandar notificação no horário de trabalho  mas não de madrugada',negativa
'Mais mensagens atualizadas dos resultados',negativa
'Mostrar a metas diárias que devo fazer seria bom.',negativa
'Aonde esta o meu ponto forte e fraco em relacao a atendimento',positiva
'Informações mais próximo do real',negativa
'Focar no backoofce',positiva
'Meu desempenho do dia dia',negativa
'Ta perfeita',positiva
'Informações atualizadas!',negativa
'Mais variedades',positiva
'Sou assistente técnico e ainda não recebi um treinamento de vendas direcionado para meu setor. Seria muito bom',positiva
'Mandar as vendas de hora em hora',negativa
'Interagir',negativa
'Sempre mandar atualizações das metas em geral',negativa
'Atualizar com mais frequência  ter mais comandos',negativa
'Pose continuar igual!',positiva
'Informar valores em serviços e cdc',positiva
'Trabalhando com eficiência',positiva
'Valores de cotas e atingimento em monetário',negativa
'Índice atualizado do dia',negativa
'Assim está bom',positiva
'Ser mais frequente nas informações',negativa
'Apoiar mais com os resultados da turma do acelera para nos dar um norte para dar o feedback.',positiva
'Falando nossas metas diárias monetária e de serviço',negativa
'Sempre conectar',negativa
'Mas dicas de abordagem ao cliente',positiva
'Mais estratégia para vender seguro',positiva
'Continue a melhorar sempre',positiva
'Não tenho',positiva
'A empresa conquistar o funcionário',positiva
'Vendas no via mais',positiva
'Mais dicas para fazer boas vendas',positiva
'Queria a taxa de juros do carne mais baixa para poder vender mais no carne',positiva
'Mais opções de produtos com IR melhor.',positiva
'Informações sobre os produtos da cesta 1 dia a dia.',positiva
'No termino do mês informar o resultado de premiação do sócio vendedor.pois envia o mês todo e no final não envia',negativa
'Definir minhas premiacao',negativa
'Detalhar mais sobre quais os indicadores que estão fora a meta.',negativa
'Referente ao ponto dos funcionários enviar msg mais constantes  se possível todos os dias relatando.',negativa
'Falar quanto eu tenho q vender por dia para atingir o indicador',negativa
'Que A gente consegue consulta o nosso demonstrativo  na hora que quiser',negativa
'Continuar assim .',positiva
'Todas as campanhasque tiver na empresa deveriam ser informadas por aqui',positiva
'Vcs  estão deparabéns a cada dia mais novidades',positiva
'Tá ótimo do jeito que estar. Adoro as dicas!',positiva
'No modo como estar já estou agradecida me ajuda a saber o meu progresso',positiva
'Enviando os produtos das melhores cestas semanais',positiva
'Enviar dados das vendas feitas no via + e n e vendas express',positiva
'Interagir ainda mais com os colaboradores',negativa
'atualizar sempre',negativa
'Mandar o acumulado com mais frequências',negativa
'Mandar mais gatilhos',positiva
'Nao',positiva
'Uma mensagem no fim do expediente para quê eu pense no que fiz   e o quê devo fazer no dia seguinte',positiva
'Mandar as ofertas um dia antes e inserir as fotos para que possamos  divulgar em redes sócias.',positiva
'Responder o quê escrevemos sobre todos os processos',positiva
'Comparação de serviços com outros do mesmo setor',negativa
'Inserir mais informações',positiva
'Excelente aplicativo de acompanhamento de resultados.',positiva
'Pesquisa de preços.',positiva
'Mandar os resultados de todos os  dia',negativa
'Ver o pagamento correto',negativa
'Mais informações sobre produtos...da linha leve.Comparações entre eles. E menos intriga sobre eficiência',negativa
'lançamentos',positiva
'Muito bom! Muito útil',positiva
'MANDAR MAIS OS RESULTADOS.',negativa
'Desempenho e banco de horas',negativa
'Sistema mais leve',negativa
'Colocar dia a dia mais produtos da cesta 1',positiva
'Continuar aprimorando o sistema blz',positiva
'Sem sugestão',positiva
'Blz tá tudo bem direcionado',positiva
'Conteúdo mais detalhad',positiva
'PASSAR TODOS OS COTAS DIÁRIAS..',negativa
'Que fale comigo sempre',negativa
'Me trazer informação  para meu cargo de consultor prove/movve',positiva
'Não mandar mensagem quando estiver de folga.',negativa
'Nada',positiva
'Mas nada',positiva
'Sempre me mandar como estão os meus vendedores diariamente ajudaria muito',negativa
'Está ótima esse conteudo',positiva
'Maior envio de informação dos produtos que estao em promoções na semana',positiva
'Produtos que tenham IR maior avisar',positiva
'Seria interessante você me notificar sobre projeção é como alcançar no fluxo por hora.',positiva
'Envio de cursos de alto desempenho',positiva
'Nao',positiva
'Me mandar feedback diariamente ajuda muito assim não perdemos o foco.',negativa
'Não tenho sugestão',positiva
'Poder dar print na tela',negativa
'Não sei',positiva
'Porque enquanto tá ótimo sem nenhuma sugestão',positiva
'Vc está ótima se possível mande dicas dos treinamentos que pode ajudar o colaborador aumentar o fator que ele não está bem para alcançar todas as metas.',positiva
'Dúvida sobre procedimentos em loja',positiva
'Ok',positiva
'Manda diariamente as ofertas anunciadas na tv ou do dia e os produtos com melhor IR do dia',positiva
'Pra mim esta muito bom como está.',positiva
'Tudo bem nao precisa mais nada',positiva
'Mandar posicionamento das metas com regularidade',negativa
'Informações da concorrencia seria muito legal',positiva
'Mas informação sobre produtos',positiva
'Estou satisfeita',positiva
'A sua ajuda e muito precisa não mudaria nada',positiva
'Mandar resultados individuais dos vendedores',negativa
'Para com a frase:  não reconheço este comando.',negativa
'Nenhuma',positiva
'Acho que está muito bom',positiva
'Disponibilizar mais ofertas de móveis.',positiva
'Atualize mais rápido a premiação no fim do mês.',negativa
'Mandar o extrato do último dia do mês',negativa
'Ranking das campanhas',positiva
'Nada',positiva
'Sinalizar  meus treinamentos realizados e os que eu preciso fazer',positiva
'Conseguir condições melhor que a do concorrente',positiva
'Mostra o valor do cdc em números o valor total diário  porque vc mostra em porcentagem é gostaria acompanhar diariamente',negativa
'Passar dicas e informações atualizadas.',negativa
'acho q poderia ser diariamente o valor da premiacao',negativa
'Mais ofertas',positiva
'Lista de pré aprovados no Cdc com base nas vendas do dia a dia',positiva
'Treinamento para aprimorar meu conhecimento referente a vendas  saber lidar com diversos públicos. E treinamento sobre os serviços com conteúdos mais simples e objetivos.',positiva
'Dar ênfase nos resultados dos vendedores e vendedores líderes  buscando alavancar o resultado.',positiva
'Estou satisfeito',positiva
'No meu caso é que eu vende mais que uma amiga minha agente olhou no sistema e lá mostra. Que estou muito a frente dela e no Eva mostra que ela está perto de mim sou da filial 1653 dá uma pesquisada? E ver tbm meu cauda longa eu vende tbm kk obrigado',negativa
'Resultados das filiais  estrelas dos vendedores das minhas lojas de responsábilidade.',positiva
'Não me enviar mensagens no meu dia de folga',negativa
'Está otimo',positiva
'Disponibilidade de conversação. Sempre que escrevi algo aparece que não reconhece o comando.',negativa
'Enviar a premiação atualizada no último dia do mês',negativa
'Mais mais mensagens de acompanhamento dos indicadores para ficarmos sempre atualizados',negativa
'Mande as mensagens pela manhã que possibilita mais ainda focar no objetivo',negativa
'Mandar os números para o check in diário.',negativa
'Nada a declarar',positiva
'Ter mais informações  do looqbox',negativa
'Nao sei informar   pois conheço pouco do app',positiva
'Não tenho sugestão obrigado',positiva
'Que VENDEDORES LÍDERES POSSAM OBTER TODA E QUALQUER INFORMAÇÃO SOBRE PERFORMANCES DO GRUPO DE LIDERADOS QUANTO A TODOS OS COLABORADORES DA FILIAL',negativa
'Mandar extrato diário',negativa
'Que cada vendedor tivesse o próprio desconto e ele que negociar se não esperasse por outra pessoa',positiva
'Mandar meus resultados da regional.',positiva
'Nada a declarar',positiva
'Gostaria de ter sugestão de como alcançar minha premiação com mas frequência',positiva
'As mensagens serem passadas   com atualidade!',negativa
'Ter maior interação',negativa
'De vendas',positiva
'colocar os valores do cdc e nao porcentagem.',negativa
'sem sugestao',positiva
'Enviar mensagem sobre ponto e irregularidades no ponto.',positiva
'Continue mandando',positiva
'Melhorar as respostas',negativa
'Continuar mandando as informações atualizadas ajuda muito.',positiva
'Não obstante',positiva
'Enviar produtos com melhores ir',positiva
'Gosto muito desse acompanhamento',positiva
'Mandar mais dicas como vender',positiva
'Ao saber meu desempenho  apresentar soluções para minhas limitações',positiva
'treinamento de produtos e servicos',positiva
'Quando eu saí da premiação vc me avisar',negativa
'Continuar assim',positiva
'Está atendendo perfeitamente!',positiva
'Ajudar nas vendas',positiva
'Meu desempenho em tempo real  porque o gestor fala uma coisa e vc manda outra',negativa
'Responder a maior número possível de perguntas',negativa
'O que voce ja manda esta otimo',positiva
'Mostraras premiações de todos os meses.',negativa
'falar mais claro comigo pq eu não entendo nada ainda',positiva
'Responder todas as perguntas  e ser mais acertiva  pois as vzs fala de resultados q não tem nada a ver  e também manda um extrato q quando vem o pagamento tem muita diferença  e elogiar também e parabenizar com os resultados ao invés de só cobrar.',negativa
'Continue sempre assim me deixando atualizado referente as informaçoes da empresa via varejo',positiva
'Ok',positiva
'Enviar todos os dias resultados',negativa
'Passar as informações em valores não em porcentagem',negativa
'Enviar a premiação correta pois as vezes da valores diferente do que eva manda e o superação tb',negativa
'Poder conversa online',negativa
'Explicar melhor sobre premiação',positiva
'Enviar os principais  resultados da  loja   todos os  dias   com referência  d-1',negativa
'Gostaria de receber diariamente minha projeção de premiação e diárias de minhas sazonais  tanto da venda mercantil quanto dos outros apontadores como serviço  desconto  cdc e i.r.',negativa
'Mandar diariamente cotas de vendas serviços e cdc e mandar meu extratto de premiação tbm diariamente',negativa
'Disponibilizar as premiações   nós só ficamos sabendo valor do prêmio quando o vale está disponível na consulta',negativa
'Mandar premiação com valores no último dia do mes',negativa
'Dicas de vendas',positiva
'No último dia da cota mercantil me mostrar minha premiação projetada e qual meu percentual de CDC e serviços atualizados do dia.',negativa
'Melhorar o acesso as premiações',negativa
'A questão dos Banners promocionais ... aumente dessas mídias pois funcionam   quando recebo notificando que está disponível... já posto nas minhas redes sociais... e de imediato já csg contatos dos meus clientes   até mesmo não sendo o produto que esteja no anúncio',positiva
'Receber diariamente nosso desempenho',negativa
'Não tenho',positiva
'Extrato diario mais rápido',negativa
'Status de treinamento ON line por filial para nós consultores de treinamento  status de acesso ao Via APP',positiva
'Ainda trava muito',negativa
'Satisfatório',positiva
'Mudei de filial da 959 para 1625 oque devo fazer',positiva
'Mandando sempre meus resultados do dia a dia',negativa
'Esta perfeito   mais cê puder melhorar ficaria ainda melhor.',positiva
'gostaria que me mandasse todos os dias os produtos que devo focar!!!',positiva
'Eu gostaria de mais explicações sobre serviços',positiva
'Mandando todos os dia os resultado',negativa
'Falar das melhores cesta de ir do setor que a gente perguntar  ficaria bem melhor e ter os melhores ir's na palma da mão.',positiva
'O extrato poderia ser atualizado todos os dias e a frequencia ser maior',negativa
'Tudo certo',positiva
'Mandar mas conteúdos',negativa
'Mandar cursos para a de servente de limpeza para uma futura preparação e mudança de cargo dentro da empresa',positiva
'Me mandar todos os dia meu desempenho',negativa
'Poderia enviar resultado de Cartões',positiva
'Comunicação via chat.',negativa
'Tá ótimo',positiva
'Enviar uma duas vezes  toda informação.',negativa
'Que as nossas perguntas sejam aceitas e respondidas.de maneira mais fácil',negativa
'Números e acompanhamentos atualizados',negativa
'Ta ok',positiva
'Estou satisfeita',positiva
'Continuar mandando alternativas e opções para aumentar as vendas e qualidades das mesmas',positiva
'No momento não',positiva
'Trazer resultados mês a mês das campanhas como o aperte o play e coisas envolvidas a treinamento como BVBV enviando convite',positiva
'Poderiam informações sobre as vendas no cauda longa e tbm comissionamento.',positiva
'Ok',positiva
'Nada a declarar',positiva
'RECEBER BOM DIA OPERAÇÕES POR AK.',positiva
'O sistema ainda falha bastante',negativa
'No fim do mês a Evva sempre some e não dá notícias de como foi o fechamento do mês devemos parar de trabalhar com projecao e colocar as metas em tempo real  vendeu já entra no sistema e já sobe o percentual  pq muitos vendedores se enganam com projeção achando que já bateram ou perdem o foco tiram o pé por estarem dentro de todas a cotas',negativa
'Muito bom',positiva
'Continue assim',positiva
'Acredito que atualizando Eva mas frequente iria ajudar mais',negativa
'Sobre cdc',positiva
'Continuar mandando conteudos',positiva
'O que Falta Pra Chegar No Ir   CdC e Eficiência',positiva
'Mais treinamentos',negativa
'Enviar diariamente o meu relatório de  desempenho.',negativa
'IGP dos vendedores',positiva
'Melhorar o Raking',negativa
'Melhoras',negativa
'adorei o app',positiva
'Ágora só falta o boneco da Eva',positiva
'Me indicar os produtos do setor de móveis com o i.r. bom e também com as melhores taxas de carnê',positiva
'Mandando diário o meu resultado para eu poder correr atrás.',negativa
'Lista de produtos em cesta 1 E 2 todos os dias será fundamental p alavancar IR',positiva
'mostrar todos os indicadores da premiação da cal inclusive despesas gerenciáveis IQV e tudo que a compõe',positiva
'Acho unificando o sistema melhoraria o desempenho de funcionarios novos nao adianta mostrar resultados diarios se a empresa nao esta preparada para funcionarios novos',positiva
'Nada a declarar',positiva
'Diferenciar porcentagem de serviços de recarga',positiva
'Nada',positiva
'Técnicas de venda de serviços.',positiva
'Acho que nas férias do colaborador não deveria mandar mensagens   eles ficam questionando   ou nos dias de folgas !',negativa
'O EXTRATO DE LOJA NAO ESTA SENDO ATUALIZADO...QUANDO PECO ESTA MANDANDO UM QUE NAO ESTA ATUALIZADO....OU SEJA DO DIA ANTERIOR',negativa
'No momento está bem informado sobre as vendas. O que precisamos melhorar isso contribui muito para o nosso resultado.',positiva
'Dicas de argumentos na oferta serviços .',positiva
'Nada',positiva
'Enviar extrato do mês anterior',negativa
'Colocar uma opção para visualizar os gatinhos de prêmiaçao',positiva
'Envio de sugestões de pílulas de acordo com as dificuldades de cada liderado.',positiva
'Ok',positiva
'Acho que poderia mandar um extrato diário',negativa
'Calda longa e serviços',positiva
'Continuar inovando',positiva
'Nenhuma',positiva
'Resultado da loja  ir  cdc  eficiência mobile balcão  recarga  onde estamos sendo ofensores',positiva
'Nenhuma',positiva
'Pra mim esta ótimo as dicas',positiva
'Motivação ****** sobre ponto positivo *** nem que um.',positiva
'Indicar e dar opção de como melhorar os serviços e também disponibilizar de cada vendedor quanto falta para as metas',negativa
'Já está otimo',positiva
'O ideal é que os indicadores venham diariamente e nem sempre temos a nossa disposição as estrelas dos colaboradores em tempo hábil',negativa
'Pra mim está ótimo',positiva
'Enviar mais dados monetários sobre a meta é não só por %',negativa
'Mostra o igp individual de cada vendedor para o gerente igual mostra o extrato hoje',positiva
'Continuo mandando mensagens',positiva
'Que as mensagens sobre nosso resultado diário realmente fosse nos enviadas todo os dias  pois tem dia que não chega nada e assim não dá para gente se planejar direito no decorrer do dia e do mês.',negativa
'Manda mais detahados as in formações de produtividade',negativa
'Todos os dias me informando o resultado do dia anterior e em que devo melhorar',negativa
'Incentivando  cada dia mas para que possamos atingi  nossos objetivo  Em loja',negativa
'Nada no momento',positiva
'Continue',positiva
'Pra mandar as estrela na sexta e notificar gerente pra falar na reunião de sábado...',positiva
'Mandar o resultado diariamente mesmo  pois tem dia que não chega nada e assim da para gente se planejar corretamente dependendo do resultado diário.',negativa
'No momento não tenho nenhuma sugestão.',negativa
'Enviar novas opções de venda no cauda longa.pra quem é da área fixa',positiva
'Atualizar diariamente o extrato  pois atraves dele tenho acesso ao meu rendimento mesmo de casa  assim consigo pensar numa estrategia melhor de vendas ate na minha folga ou antes de dormir',negativa
'Vim atualizada na quentão de verda  e algumas informação que não estão de acordo.',negativa
'Responder sempre a gente perguntar',negativa
'Dizer sobre as premiações',negativa
'Mandando a meta do dia',negativa
'Enviar o extrato diário de vendas e prêmios atualizados.',negativa
'Só o extrato que está chegando um pouco atrasado. Exemplo hoje é 12\|12\|18 e só chegou a do dia 09/12/18',negativa
'Atualizar o prêmio do gerente no fim do mês mais rapidamente',negativa
'Continua mandando mensagem',positiva
'Como GN podederia passar as lojas e sua dispessão',positiva
'Conteúdo sobre ferro de passar',positiva
'Irrelevante',negativa
'Um espaço para eu tirar duvias',positiva
'Nada a declarar',positiva
'Podem parar de enviar mensagens não verídicas comparando vendedores',negativa
'Nao estou recebendo ofertas da linha que eu vendo e sim de outro setor de vendas',negativa
'Nada a declarar',positiva
'Enviar premiação  de acordo com o Dia',negativa
'Sugiro mandar dados mais frequentes dos vendedores que estão  no acelera. E enviar dados de imputs do movve no agile   das práticas executadas.',positiva
'Do jeito que está...ta bom',positiva
'EnvIar msgs e conteúdo de acordo com os cargos.',negativa
'Enviar vendas por hora',negativa
'Acho que o calda longa deveria ser constado mais rápido',negativa
'Ok',positiva
'Sugestão para dar feedbacks aos colaboradores',positiva
'Mandar resultado de venda e serviços diariamente.',negativa
'Poderia ter algumas dicas de vendas de serviços.',positiva
'Está tudo otimo',positiva
'Responder todas  as perguntas',negativa
'Sempre no que devo melhorar',positiva
'Eu penso que a cada serviço  ou venda deveria aparecer para nos com mais clareza  na msm hora e o valor da comissão  isso faria com que a gente agilizasse para vender mais afinal quem nao gosta de ver o que está ganhando em tempo real não msm ? Pense direitinho e veja se é possível nos revelar em tempo real a venda e as comissoes de servicos.',negativa
'Poderia ser enviado resultado ao decorrer do dia   para acompanhar melhor os resultado',negativa
'Mandando com mais frequência as promoções atualizadas obrigado eva',negativa
'Nada a declarar',positiva
'O aplicativo parou de responder os comandos  não mostra as estrelas da semana  não está mostrando projeção  nada.',negativa
'Poderia mandar o score de desempenho',positiva
'Dessa forma da para entender perfeitamente',positiva
'Mensagens diárias',negativa
'No momento esta suprindo e ajudando no nosso campo de vendas',positiva
'Melhorar a comunicação e as informações passadas',negativa
'Só a informação da eficiência  do cdc e mercantil mais atualizadas já estão ótimas.',negativa
'Nada a declarar',positiva
'Continua de mesma forma está ótimo assim posso ter mais benefício',positiva
'Atualização em tempo real',negativa
'Incluir venda balcão os devios de procedimento incluir o pv que foi feito  premiação da call  e premiação da equipe.',positiva
'Gosto muito do app tira minha dúvidas e me ajuda',positiva
'Atualizar diariamente',negativa
'Não obrigado',positiva
'Mandar mais cards de produtos  e poderia mandar os produtos com IR alto diariamente tbm',positiva
'Continue assim',positiva
'Que responda as perguntas conforme são digitadas',negativa
'Não',positiva
'Ter mais opções para conversar com você',negativa
'Enviar mercadorias com desconto do dia neste canal',positiva
'detalhar meu desempenho.',negativa
'Mandando mensagem mais constante nos número que Está abaixo dos resultado para que os vendedores se preocupa mais em buscar os seus nuneros',negativa
'Mostrar mais números. Projeções',negativa
'Satisfeito',positiva
'Algumas das suas comparações não me agregam valor nenhum. Apenas uma crítica.',negativa
'Queria saber mais sobre meu desempenho e meu IR.',negativa
'Achei ótimo porém prefiro ser atualizado das vendas diárias',negativa
'Mandar o fechamento da premiação do mês.',negativa
'Não repetir muito as mensagens',negativa
'Continuar mandando mensagem e falando para todos vendedores parabéns',positiva
'Me dando um aumento de salário sem depender de. Vender serviços',positiva
'Dicas de vender seguro de celular',positiva
'A Evva Poderia Responder a comando de Voz Futuramente!!',positiva
'Detalhar vendas das filiais por setor. Detalhar o resultado dos vendedores com oportunidade no quadril ou gap de dispersão.',positiva
'Ser online',negativa
'Todos os dias pelo menos 2 vezes',negativa
'Ter facilidade no cdc quando o cliente estiver no SPC nos mostrar que está fora da política.',positiva
'Mandar projeção de ganhos todos os dias',negativa
'relatório de venda diário',negativa
'Mandar as informações todo fim do dia atualizado',negativa
'Atualização online dos resultados',negativa
'Mensagens que vão me ajudar..relevantes',negativa
'Dicas de vendas',positiva
'Seja mais clara com suas mensagens e seja mais satifottoria com que vc fala.',negativa
'Mandar as msg que batem com o que ouço na loja. Principalmente sobre o desempenho. Pq eu nunca sei quem está certo. E também os horários das mensagens.',negativa
'Nada a declarar',positiva
'Diariamente me deixar atenta com as mudanças de loja seja em vendas ou processos',negativa
'No momento nada a acrescentar..',positiva
'Mensagens todos os dias.',negativa
'Só tenho a agradecer por esta ferramenta importante em nosso dia a dia.',positiva
'Algumas dicas para baixar o fora de linha e giro lento',positiva
'Mandar informativo de vendas atualizadas até o dia anterior  todos os dias pela manhã  para ja irmos pra loja ja sabendo o que devemos melhorar',negativa
'Me volta pra venda Não tô gostando de ser lider',positiva
'Nenhuma',positiva
'Mandar as melhores projeções e os resultados de todos os meses',positiva
'Conhecimentos',positiva
'Me mandando as mensagens diárias',negativa
'Atualizar todos os dias após término do nossa espediente',negativa
'Continuar mandando',positiva
'Está perfeito',positiva
'Mandar mais conteúdos',negativa
'Um local q mostrasse os comandos',positiva
'Mandar os números reais de nosso desempenho em vez de projeção de desempenho',negativa
'Direcionar questões administricas para o setor com base no dia a dia',positiva
'Poderiam disponibilizar canais de comunicação direto com os setores da empresa  é sempre bom ouvir sugestões de todos os colaboradores. Disponibiliza-los aqui poderia aumentar o engajamento.',positiva
'Mostra os produtos que abrem com mais descontos',positiva
'Estou satisfeito por tudo',positiva
'Necessário um acompanhamento individual da equipe back office',positiva
'Esta otimo',positiva
'Nada a declarar.',positiva
'Continui assim',positiva
'Manda meta de cdc eficiência  atuailizada',negativa
'Só basta continuar com essa inovação do sistema via+  que está perfeito!',positiva
'Direcionar para o meu setor linha leve',positiva
'Para que seja mais atualizado os dados pois tem dia q está marcando 4 dias atrás',negativa
'ja esta ok',positiva
'Mais dica',positiva
'Ter mais cursos explicando de uma mais abrangente  as características dos produtos.',positiva
'Boa',positiva
'Pra mim ta tudo bom',positiva
'Cdc ir',positiva
'Manda as mensagens do dia mesmo',negativa
'Muito bom',positiva
'Ser mais funcional',positiva
'Nada a declarar',positiva
'Informar projeções se eu vender tanto por dia no final do mês atingirei 150 % da meta e terá uma premiação de',positiva
'Continue como esta',positiva
'Quando ouver DÚVIDAS que elas fossem esclarecidas .....e nao com mensagens que nao esta entendendo a pergunta',negativa
'Pra mim tá bom',positiva
'Enviar dicas de produtos que tenha na loja para vender',positiva
'Entao ! seria ótimo se vc nos enviasse oque precisamos fazer para melhorar nosso desempenho individual e nao ficar nos comparando com os amigos de setor. N é uma critica.',negativa
'Para mim está e aproveitável fico por dentro de onde tenho ponto de melhoria ajuda muito meu desempenho.',positiva
'Não satisfeita pois as mensagen não chegam atualizadas em tempo real (ou no final do dia pelo menos). Hoje é dia 12 a última atualização do meu desempenho foi dia 7 . Assim fica difícil acreditar que os resultados mostrados são mesmo confiáveis.',negativa
'Sem comentários',positiva
'Enviar a atualização dos números de mercantil cdc...',negativa
'Dessa forma tá perfeito da para ter uma noção da minhas vendas.',positiva
'Colocar quando for entregue a encomenda do cliente',positiva
'Continuar dando dicas para melhorar os resultados.',positiva
'No momento está tudo bem sucedido',positiva
'Está muito bom assim',positiva
'Mandar atualização diariamente de extrato',negativa
'continuar mandando o valor da premiação do líder  e se o líder tbem ganha algum tipo de estrela',positiva
'Enviar os vendedores mais ofensores na venda de serviços',positiva
'Mandar nossas vendas diarias atualizadas para salario',negativa
'Você é maravilhosa Evva me ajuda muito',positiva
'Sugestões melhorias nps',positiva
'Continuar mandando informação',positiva
'Vc deveria saber se a pessoa está de férias ou afastada pra não ficar mandando coisa  se a pessoa não rsta trabalhando ok',negativa
'Muito apropriado se fosse diariamente',negativa
'Falar com voce',positiva
'Deixar fazermos perguntas  p vcs responderem',positiva
'Abrir o leque de informações e dúvidas dos colaboradores. Respondendo a mais questões envolvendo a filial.',positiva
'Nenhuma',positiva
'Manter as atualizações de resultados',positiva
'E q as vezes pergunto sobre extrato e premiação e as vezes nao temos a informação atualizada gosto muito das dicas sobre meus liderados e onde devo atuar e como atuar',negativa
'Mandar os resultados de cada categoria da loja em percentual diariamente',positiva
'sempre mandar produtos novos',positiva
'Nada declarar',positiva
'A eva fala a mesma coisa que o gerente. Então o gerente tem que parar de pertubar',positiva
'Continuar inovando  e atualização diária do  resultado',positiva
'Extrato e prêmio',positiva
'ser mais atualizada em treinamento de celular os últimos que me enviou nem tem mais na lj ou são modelos muito antigo fora de linha ex iPhone 7 plus j2 prime',negativa
'Boa',positiva
'Que possamos também ver nossas parciais de vendas do dia.',negativa
'Seje ainda mais clara com relação ao meu desempenho.',negativa
'Dicas pra vender no Cdc',positiva
'Mandar o extrato de venda com os valores reais de cada indicador e o quanto falta pra atingir cada um deles. ??',negativa
'No evva já perderíamos ter as práticas do movve e feedback das ações',positiva
'Mandar o desempenho todos os dias',negativa
'Tenha mais frequência nas mensagens  e com meus números dos indicadores e dos meus liderados',negativa
'Salário',positiva
'Seria  legal poder responder duvidas de perguntas',negativa
'Ofertas de amanhã',positiva
'Nenhuma',positiva
'Que tenhamos um aplicativo para consultar e simular crediário de forma rápida',positiva
'Manda o meu resultados todos os dias.??',negativa
'Ao iniciar o app perguntar ao vendedor o seu setor e assim direcionar para as melhores oportunidades.',positiva
'Manter os produtos promocionais uma semana',positiva
'Passar resultados dia a dia',negativa
'Em tempo real do dia',negativa
'Alimentar a frequência do estrato',negativa
'Sem sugestões',positiva
'Informações para cada perfil... Manda informações de linha leve e celular que não são úteis para linha branca',positiva
'Atender a todo tipo de comamndo',negativa
'Exemplo dicas para feedback com liderados',positiva
'Demora muito para atualizar no início do mês.',negativa
'Dar os valores certos de serviços feitos no mês pra eu ter um controle melhor',negativa
'Mandar vídeos de treinamento de serviços',positiva
'Estimativa real de comissão',negativa
'Nada a declarar',positiva
'Acho que poderia vim com dicas sobre determinado serviço  pois realmente as vezes nos dá branco rsrs',positiva
'Mandar mais mensagens com o resultado diário e mensal resultado de todos os serviços e dicas para melhorar isso mais que uma vez no dia. Além de nos ajudar com os produtos e melhor ir',negativa
'Qndo tiver dicas q sejam dicas mesmo',positiva
'Nenhuma',positiva
'Excelente',positiva
'Ter opcao de perguntas.....',positiva
'Parabens',positiva
'Penso que falta um Campo de pesquisas dos conteúdos.',positiva
'O app é muito bom.. leve e fluido',positiva
'Pode atualizar as vendas expressas e quem está realizando a venda  nome e valor semanal',negativa
'Me informe o que fazer para conseguir bater a meta',positiva
'Com as oferta do dia',positiva
'Pra mim ta sendo ótimo',positiva
'Nao tem',positiva
'Ter informações atualizadas sobre as premiações.. não de um ou dois dias antes..',negativa
'Mais dicas para poder ganhar as campanhas vigentes',positiva
'Mandar vídeos de aplicação pro dia a dia de dica de vendas abordagens etc',positiva
'Está mais atuante',positiva
'Informações diárias sobre comissão',negativa
'Mandar os valores em tempo real .. tipo a cada 2 horas os percentuais das vendas que foram feitas com ou sem serviço',negativa
'Mandar msg de como contornar objeções',positiva
'Nada a declarar',positiva
'Bom',positiva
'Melhor ir todos os dias',positiva
'Mandar o valor da cota monetária também',positiva
'Seja atualizada',positiva
'Colocar a premiação em valor para o gerente no Eva pois cada uma abre os eu',positiva
'Para mim tá perfeito',positiva
'Nenhuma',positiva
'Me desligar',positiva
'Mensagens com conteúdos de consultoria de negócios liberada para os consultores prove movve',positiva
'Continuar enviando os resultados',positiva
'Nenhuma',positiva
'Continuar nos incentivando',positiva
'Extrato final mais rápido no final do mês.',negativa
'Quero saber mais dos meus resultados sou atendente de crédito',positiva
'Produtos do setor de cada vendedor',positiva
'Ja me ajuda muito',positiva
'Nada a declarar',positiva
'Atualização mais rapidas',negativa
'Atualização em tempo real de venda de seguros e serviços.',negativa
'Poderia ter os acompanhamentos para o meu cargo Consultor PROVE/MOVVE',positiva
'Nenhuma  assim como tem feito está perfeito.',positiva
'Dessa forma está legal',positiva
'Informações atualizadas em tempo real',negativa
'Nada',positiva
